Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Insurance underwriters,98194,5002.0,36949,3007.0,61245,3940.0,62.37142798949019,2.5,61197,1135,73389,7779,56465,2151,76.93932333183447,8.7,2016
Financial examiners,14812,1953.0,7827,1286.0,6985,1320.0,47.15770996489333,6.4,79594,5959,85285,7644,70328,13446,82.46233218033652,17.4,2016
Credit counselors and loan officers,292543,8986.0,132203,5552.0,160340,7578.0,54.80903662025754,2.0,59219,2493,76686,1909,50325,967,65.62475549644003,2.1,2016
"Tax examiners and collectors, and revenue agents",42395,3249.0,15901,2073.0,26494,2571.0,62.493218539922154,3.7,51797,1530,61586,8308,50296,2578,81.66791153833664,11.8,2016
Tax preparers,55325,4097.0,23690,2521.0,31635,3014.0,57.1802982376864,3.4,55336,5668,70019,7630,48033,5006,68.59995144175153,10.3,2016
"Financial specialists, all other",47467,3908.0,22881,2944.0,24586,2961.0,51.79598457875998,4.6,61271,3251,85274,14545,50828,1410,59.605506954053986,10.3,2016
"Computer, Engineering, and Science Occupations",7336002,43466.0,5591448,36470.0,1744554,19131.0,23.7807187075467,0.2,80279,200,82347,225,70044,522,85.1,0.7,2016
Computer and Mathematical Occupations,3884352,31439.0,2925768,25626.0,958584,14793.0,24.678093025554844,0.3,81760,262,85427,389,72472,668,84.8,0.8,2016
Computer and information research scientists,16406,1786.0,13203,1643.0,3203,804.0,19.523345117639888,4.4,101205,6239,102464,7968,90480,32730,(X),(X),2016
Computer systems analysts,448325,10327.0,267043,7574.0,181282,6780.0,40.43539842748006,1.2,80219,746,85192,1333,72409,1206,84.99506995962062,1.9,2016
Information security analysts,74659,4899.0,60291,4531.0,14368,1866.0,19.244833174834916,2.2,91119,1551,93450,4083,85895,3003,91.91546281433922,5.1,2016
Computer programmers,370512,8545.0,293334,7989.0,77178,4584.0,20.83009457183573,1.1,85795,984,87064,1230,80528,1894,92.49287880180097,2.5,2016
"Software developers, applications and systems software",1124661,17640.0,918865,15065.0,205796,6981.0,18.29849172328373,0.6,100760,271,101969,303,88759,2138,87.04508232894311,2.1,2016
Web developers,138048,6567.0,92611,5629.0,45437,3506.0,32.913914000927214,2.0,63173,2765,67356,2918,56860,3695,84.41712690777362,6.6,2016
Computer support specialists,553718,12831.0,418848,11133.0,134870,5399.0,24.357163754835494,0.8,58027,1361,60363,519,52699,1615,87.30348060898233,2.8,2016
Database administrators,99602,4790.0,62319,3801.0,37283,2982.0,37.43197927752455,2.4,81082,1480,90749,1601,60838,3557,67.03985718850896,4.1,2016
Network and computer systems administrators,192293,8319.0,157000,6976.0,35293,3051.0,18.353762227434174,1.4,73483,1528,74896,1317,69127,3204,92.29731894894253,4.6,2016
Computer network architects,92872,5520.0,86504,5092.0,6368,1191.0,6.856749073994314,1.2,98374,3658,98123,3786,100471,7586,102.39291501482832,8.7,2016
"Computer occupations, all other",569272,12347.0,445016,10826.0,124256,5734.0,21.827175761323232,0.9,70492,568,71112,579,66521,1650,93.54398695016313,2.4,2016
Actuaries,25197,2362.0,17769,2222.0,7428,1184.0,29.479699964281465,3.8,108576,14551,125465,16694,92500,20780,73.72574024628382,19.2,2016
Mathematicians,1288,385.0,1035,352.0,253,183.0,19.642857142857142,12.9,121912,20322,130431,19809,81991,51971,(X),(X),2016
Operations research analysts,126989,6477.0,63903,4533.0,63086,4077.0,49.67831859452394,2.0,81092,1232,85955,3173,76005,2335,88.42417544063754,4.2,2016
Statisticians,47469,3479.0,26411,2658.0,21058,1875.0,44.36158334913311,2.2,81345,1780,82414,5556,80027,4783,97.103647438542,8.7,2016
Miscellaneous mathematical science occupations,3041,852.0,1616,649.0,1425,573.0,46.85958566261098,13.5,66960,22875,85022,25058,46676,19406,(X),(X),2016
Architecture and Engineering Occupations,2437331,27689.0,2095090,25128.0,342241,8204.0,14.041629963267196,0.3,81125,294,82192,323,71072,864,86.5,1.1,2016
"Architects, except naval",157568,6129.0,119954,5111.0,37614,3103.0,23.871598294069862,1.7,76154,1239,81075,1188,61765,2415,76.18254702436016,3.2,2016
"Surveyors, cartographers, and photogrammetrists",27429,2860.0,22619,2453.0,4810,1108.0,17.53618433045317,3.6,61119,3486,62390,3839,55812,2372,(X),(X),2016
Aerospace engineers,114956,5336.0,102611,4675.0,12345,1796.0,10.738891401927694,1.5,102350,1710,104133,3268,91982,7191,88.33126866603286,7.4,2016
Agricultural engineers,1976,623.0,1811,544.0,165,196.0,8.350202429149798,9.6,82707,8980,83329,10436,-,**,(X),(X),2016
Biomedical engineers,12988,1889.0,10977,1692.0,2011,798.0,15.48352325223283,5.7,82150,7015,82307,8529,80583,13719,(X),(X),2016
Chemical engineers,57812,4519.0,46688,3930.0,11124,1608.0,19.241679928042622,2.3,100425,2172,101626,1712,84137,4255,82.7908212465314,4.4,2016
Civil engineers,311007,9892.0,271698,8963.0,39309,2913.0,12.639265354156015,0.8,86606,1312,89218,2506,75052,2312,84.12203815373579,3.5,2016
Computer hardware engineers,48767,4061.0,42855,4048.0,5912,1165.0,12.122951996226956,2.2,93870,5990,95911,7400,90712,10851,(X),(X),2016
Electrical and electronics engineers,186214,7532.0,171539,7365.0,14675,2080.0,7.880717883725176,1.1,96538,2002,98702,2527,81370,3031,82.44007213632956,3.7,2016
Environmental engineers,27552,3135.0,19945,2517.0,7607,1459.0,27.609610917537747,4.3,80421,2937,81736,5839,75468,7563,92.33140843691886,11.4,2016
"Industrial engineers, including health and safety",183615,7332.0,145311,6717.0,38304,2861.0,20.861040764643413,1.3,79761,1588,80491,900,75753,3357,94.1136276105403,4.3,2016
Marine engineers and naval architects,10619,1662.0,9501,1534.0,1118,591.0,10.528298333176382,5.3,90840,3596,91898,5522,80611,19408,(X),(X),2016
Materials engineers,34668,2535.0,31741,2329.0,2927,867.0,8.442944502134534,2.4,81420,1695,81479,1880,80865,5938,(X),(X),2016
Mechanical engineers,245579,8235.0,228477,8105.0,17102,1789.0,6.963950500653558,0.7,84486,2045,84537,2133,84034,4115,99.40499426286715,5.5,2016
"Mining and geological engineers, including mining safety engineers",8540,1911.0,7389,1668.0,1151,684.0,13.47775175644028,7.4,93125,10228,95068,12131,92216,39118,(X),(X),2016
Nuclear engineers,6902,1315.0,5756,1171.0,1146,456.0,16.603882932483337,5.8,95190,9137,96151,9566,74659,46086,(X),(X),2016
Petroleum engineers,22671,2811.0,19383,2687.0,3288,1077.0,14.503109699616251,4.4,141359,14058,150247,15949,112500,35658,(X),(X),2016
"Engineers, all other",471817,11936.0,411849,11066.0,59968,3846.0,12.710012568432253,0.7,93058,1491,95214,1426,85464,2782,89.75990925704204,3.2,2016
Drafters,132332,6076.0,110629,4998.0,21703,2259.0,16.400417132666323,1.5,52899,1627,54290,1837,50363,2315,92.76662368760361,5.3,2016
"Engineering technicians, except drafters",319240,9931.0,262975,8372.0,56265,4238.0,17.624671093847887,1.2,55953,941,58274,2387,48448,2980,83.13827779112468,6.1,2016
Surveying and mapping technicians,55079,4487.0,51382,4511.0,3697,1147.0,6.712177054775867,2.0,50071,1698,50231,1443,46731,3091,(X),(X),2016
"Life, Physical, and Social Science Occupations",1014319,14887.0,570590,12095.0,443729,10670.0,43.74649395308576,0.8,65257,664,70191,1097,60646,505,86.4,1.5,2016
Agricultural and food scientists,21091,2172.0,13559,1624.0,7532,1378.0,35.71191503484899,5.4,70220,6919,71570,5303,64842,8448,90.59941316193935,13.6,2016
Biological scientists,65111,3923.0,35893,2892.0,29218,2288.0,44.87413801047442,2.2,61171,2112,65122,4152,56853,3383,87.3022941555849,7.6,2016
Conservation scientists and foresters,18235,1973.0,14086,1857.0,4149,900.0,22.75294762818755,4.3,60447,3350,60340,4455,60827,6740,(X),(X),2016
Medical scientists,116550,5853.0,54653,3917.0,61897,3557.0,53.107679107679104,1.5,74534,3407,80827,4765,71175,1397,88.05844581637324,5.5,2016
"Life scientists, all other",4116,809.0,2467,628.0,1649,631.0,40.06316812439261,13.2,65765,23729,81388,34529,54712,11467,(X),(X),2016
Astronomers and physicists,9881,1655.0,7669,1453.0,2212,558.0,22.3863981378403,4.2,93935,10649,101448,5956,68105,14947,(X),(X),2016
Atmospheric and space scientists,10037,1472.0,8609,1351.0,1428,531.0,14.227358772541596,4.9,90434,7658,91465,8278,84167,24363,(X),(X),2016
Chemists and materials scientists,77023,3754.0,49013,3267.0,28010,2854.0,36.365760876621266,3.3,70594,1955,75433,5342,63426,3315,84.08256333434969,7.4,2016
Environmental scientists and geoscientists,63449,3530.0,42834,2849.0,20615,2462.0,32.49066179135999,3.4,72831,3408,79279,3639,60315,3285,76.07941573430543,5.4,2016
"Physical scientists, all other",192236,6269.0,115118,5130.0,77118,4163.0,40.11631536236709,1.7,77439,2638,87134,4267,65913,2051,75.64555741731127,4.4,2016
Economists,21747,2373.0,15164,1895.0,6583,1155.0,30.270841955212212,4.2,109562,8262,111514,9490,103723,9634,93.01343329088724,11.7,2016
Survey researchers,1453,548.0,423,276.0,1030,494.0,70.88781830695113,21.0,64230,17845,23794,60511,64931,23280,(X),(X),2016
Psychologists,121887,4749.0,37701,2647.0,84186,4290.0,69.06889167835783,2.3,72789,2655,90586,3924,69134,2387,76.31863643388603,4.2,2016
Urban and regional planners,21747,1979.0,12910,1733.0,8837,1262.0,40.635489952637144,4.5,70647,4263,74634,4955,65309,3397,87.50569445561004,7.4,2016
"Miscellaneous social scientists and related workers, including sociologists",24486,2821.0,12996,1819.0,11490,1643.0,46.924773339867684,4.0,61924,4687,67455,8319,57068,7438,84.6015862426803,15.2,2016
Agricultural and food science technicians,27668,2549.0,16564,2074.0,11104,1523.0,40.13300563828249,4.1,45039,3152,48340,2312,40927,2362,84.6648738105089,6.3,2016
Biological technicians,16216,2009.0,8401,1437.0,7815,1652.0,48.19314257523434,8.3,49041,4092,50495,3626,44796,9207,88.71373403307258,19.3,2016
Chemical technicians,56741,3837.0,40491,3477.0,16250,1818.0,28.638903085951956,2.6,52188,2226,54898,3467,48580,2509,88.49138402127582,7.2,2016
Geological and petroleum technicians,12268,1884.0,9465,1760.0,2803,861.0,22.84805999347897,6.1,71250,10528,71414,10777,70152,21476,(X),(X),2016
Nuclear technicians,3432,836.0,3144,837.0,288,200.0,8.391608391608392,5.5,84688,8513,87628,10324,78893,18344,(X),(X),2016
Social science research assistants,1723,706.0,219,197.0,1504,635.0,87.28961114335462,8.9,41644,3815,50617,29822,41419,3203,(X),(X),2016
"Miscellaneous life, physical, and social science technicians",127222,6153.0,69211,4392.0,58011,3912.0,45.59824558645517,2.1,42673,1664,45323,2140,41614,974,91.81651700019857,4.8,2016
"Education, Legal, Community Service, Arts, and Media Occupations",10566994,56398.0,3984993,29074.0,6582001,45549.0,62.288300722040724,0.2,50890,94,59998,551,47103,161,78.5,0.8,2016
Community and Social Service Occupations,1965931,21495.0,706430,12658.0,1259501,17781.0,64.0663889017468,0.5,44265,463,45984,436,42947,581,93.4,1.6,2016
Counselors,536072,11247.0,148955,5823.0,387117,9582.0,72.21362055843244,0.9,45356,422,46279,878,45007,815,97.25145314289418,2.6,2016
